id,Date,pH,TDS,Temperature,EC
388,2025-04-22 08:52:29.531171+00,7.67,115.38,12.69,172.21
389,2025-04-22 09:12:29.336849+00,7.36,107.51,12.75,160.46
390,2025-04-22 09:32:29.378207+00,7.24,104.0,12.81,155.22
391,2025-04-22 09:52:29.386156+00,7.21,101.67,12.94,151.75
392,2025-04-22 10:12:29.37851+00,7.13,97.44,13.13,145.43
393,2025-04-22 10:32:29.521478+00,7.08,94.03,13.31,140.34
394,2025-04-22 10:52:29.475421+00,7.08,90.13,13.62,134.52
395,2025-04-22 11:12:30.118838+00,7.08,86.1,13.94,128.51
396,2025-04-22 11:32:29.544763+00,7.12,82.36,14.31,122.93
397,2025-04-22 11:52:29.711602+00,7.34,83.39,14.63,124.46
398,2025-04-22 12:12:29.418477+00,7.29,78.34,14.94,116.93
399,2025-04-22 12:32:29.38314+00,7.35,75.81,15.25,113.15
400,2025-04-22 12:52:29.383719+00,7.54,74.64,15.69,111.4
401,2025-04-22 13:41:50.048469+00,7.55,88.21,14.63,131.66
402,2025-04-22 14:01:49.284028+00,7.56,86.92,14.75,129.73
403,2025-04-22 14:21:49.30261+00,7.62,85.16,15.0,127.1
404,2025-04-22 14:41:49.165327+00,7.7,83.85,15.25,125.15
405,2025-04-22 15:01:51.712979+00,7.74,82.37,15.44,122.94
406,2025-04-22 15:21:50.078379+00,7.94,83.82,15.69,125.1
407,2025-04-22 15:41:49.309234+00,8.38,72.77,17.37,108.61
408,2025-04-22 15:52:39.191519+00,7.87,79.82,15.88,119.13
409,2025-04-22 16:12:39.581406+00,7.84,61.89,17.25,92.37
410,2025-04-22 16:32:39.201492+00,7.99,62.94,17.44,93.94
411,2025-04-22 16:52:39.293155+00,8.04,60.94,17.69,90.96
412,2025-04-22 17:12:39.38133+00,8.15,60.32,17.94,90.03
413,2025-04-22 17:32:39.311844+00,8.2,58.32,18.19,87.04
414,2025-04-22 17:52:39.210565+00,8.2,56.05,18.37,83.66
415,2025-04-22 18:12:40.076582+00,8.41,58.48,18.56,87.28
416,2025-04-22 18:32:39.229359+00,8.33,54.26,18.75,80.99
417,2025-04-22 18:52:39.250899+00,8.41,55.34,18.81,82.6
418,2025-04-22 19:12:41.205225+00,8.44,55.27,18.87,82.49
419,2025-04-22 19:32:39.494377+00,8.45,54.62,18.94,81.52
420,2025-04-22 19:52:39.34666+00,8.46,54.85,18.94,81.87
421,2025-04-22 20:12:39.255355+00,8.44,56.02,18.81,83.61
422,2025-04-22 20:32:39.255444+00,8.43,57.31,18.69,85.54
423,2025-04-22 20:52:39.973194+00,8.44,59.93,18.5,89.45
424,2025-04-22 21:12:39.456738+00,8.36,61.24,18.25,91.4
425,2025-04-22 21:32:39.281439+00,8.37,63.86,18.06,95.31
426,2025-04-22 21:52:39.338785+00,8.46,69.07,17.81,103.09
427,2025-04-22 22:12:39.286381+00,8.31,67.14,17.69,100.21
428,2025-04-22 22:32:39.417702+00,8.25,68.15,17.5,101.72
429,2025-04-22 22:52:39.303699+00,8.18,68.94,17.31,102.9
430,2025-04-22 23:12:39.275604+00,8.11,69.72,17.12,104.06
431,2025-04-22 23:32:39.29215+00,8.06,70.84,16.94,105.73
432,2025-04-22 23:52:39.307454+00,8.03,72.54,16.75,108.27
433,2025-04-23 00:12:39.262055+00,8.11,76.77,16.56,114.58
434,2025-04-23 00:32:39.25592+00,7.95,75.49,16.37,112.67
435,2025-04-23 00:52:39.294992+00,7.86,75.69,16.19,112.97
436,2025-04-23 01:12:39.295732+00,7.81,76.93,16.0,114.82
437,2025-04-23 01:32:39.299374+00,7.97,82.99,15.81,123.87
438,2025-04-23 01:52:39.264532+00,7.73,79.0,15.69,117.91
439,2025-04-23 02:12:39.279407+00,7.7,79.94,15.56,119.31
440,2025-04-23 02:32:39.447605+00,7.77,83.06,15.44,123.97
441,2025-04-23 02:52:39.255458+00,7.64,82.47,15.25,123.09
442,2025-04-23 03:12:39.280372+00,7.58,82.6,15.13,123.28
443,2025-04-23 03:32:39.312561+00,7.54,82.56,15.06,123.22
444,2025-04-23 03:52:39.454494+00,7.52,83.62,14.94,124.81
445,2025-04-23 04:12:39.390399+00,7.56,86.17,14.81,128.61
446,2025-04-23 04:32:39.417844+00,7.45,85.16,14.69,127.1
447,2025-04-23 04:52:39.270754+00,7.53,87.75,14.63,130.97
448,2025-04-23 05:12:39.283181+00,7.56,90.07,14.5,134.43
449,2025-04-23 05:32:39.397876+00,7.42,87.61,14.44,130.76
450,2025-04-23 05:52:39.352715+00,7.39,88.56,14.31,132.18
451,2025-04-23 06:12:39.305786+00,7.38,89.09,14.25,132.97
452,2025-04-23 06:32:39.308972+00,7.34,88.92,14.19,132.72
453,2025-04-23 06:52:39.442615+00,7.36,91.02,14.06,135.85
454,2025-04-23 07:12:39.291777+00,7.38,92.23,14.0,137.66
455,2025-04-23 07:32:39.326548+00,7.28,90.69,13.94,135.36
456,2025-04-23 07:52:39.310165+00,7.26,91.87,13.81,137.12
457,2025-04-23 08:12:39.306782+00,7.34,94.46,13.75,140.99
458,2025-04-23 08:32:39.472884+00,7.38,96.13,13.69,143.48
459,2025-04-23 08:52:39.307423+00,7.37,95.9,13.69,143.13
460,2025-04-23 09:12:39.312214+00,7.32,95.64,13.62,142.75
461,2025-04-23 09:32:39.340085+00,7.24,93.8,13.62,140.0
462,2025-04-23 09:52:39.412888+00,7.21,93.87,13.56,140.1
463,2025-04-23 10:12:39.336977+00,7.19,93.41,13.56,139.42
464,2025-04-23 10:32:39.330015+00,7.26,95.02,13.56,141.82
465,2025-04-23 10:52:39.325262+00,7.19,93.41,13.56,139.42
466,2025-04-23 11:12:39.429605+00,7.21,93.11,13.62,138.97
467,2025-04-23 11:32:39.469275+00,7.24,92.92,13.69,138.69
468,2025-04-23 11:52:39.496429+00,7.25,92.4,13.75,137.91
469,2025-04-23 12:12:39.33765+00,7.19,89.38,13.88,133.4
470,2025-04-23 12:32:39.338054+00,7.33,91.84,13.94,137.07
471,2025-04-23 12:52:39.342855+00,7.16,87.94,13.94,131.25
472,2025-04-23 13:12:39.357419+00,7.19,88.63,13.94,132.28
473,2025-04-23 13:32:39.555384+00,7.21,87.58,14.06,130.72
474,2025-04-23 13:52:39.357295+00,7.23,88.03,14.06,131.39
475,2025-04-23 14:12:39.359379+00,7.27,87.32,14.19,130.33
476,2025-04-23 14:32:39.516988+00,7.29,87.78,14.19,131.01
477,2025-04-23 14:52:39.35588+00,7.27,86.56,14.25,129.19
478,2025-04-23 15:12:39.372286+00,7.33,87.94,14.25,131.25
479,2025-04-23 15:32:39.503491+00,7.29,87.78,14.19,131.01
480,2025-04-23 15:52:40.278609+00,7.3,88.01,14.19,131.36
481,2025-04-23 16:12:39.374252+00,7.26,87.09,14.19,129.99
482,2025-04-23 16:32:39.373233+00,7.29,88.53,14.13,132.13
483,2025-04-23 16:52:39.379084+00,7.3,88.76,14.13,132.48
484,2025-04-23 17:12:39.40964+00,7.25,87.61,14.13,130.76
485,2025-04-23 17:32:39.485622+00,7.31,89.87,14.06,134.13
486,2025-04-23 17:52:39.38957+00,7.31,89.87,14.06,134.13
487,2025-04-23 18:12:39.31685+00,7.31,89.87,14.06,134.13
488,2025-04-23 18:32:39.386551+00,7.32,90.1,14.06,134.48
489,2025-04-23 18:52:39.388164+00,7.48,93.77,14.06,139.96
490,2025-04-23 19:12:39.396556+00,7.31,90.63,14.0,135.27
491,2025-04-23 19:32:39.56415+00,7.24,89.02,14.0,132.87
492,2025-04-23 19:52:39.418473+00,7.3,91.15,13.94,136.04
493,2025-04-23 20:12:39.427467+00,7.27,91.22,13.88,136.15
494,2025-04-23 20:32:39.552496+00,7.25,91.64,13.81,136.78
495,2025-04-23 20:52:39.448984+00,7.21,91.48,13.75,136.54
496,2025-04-23 21:12:39.468281+00,7.18,91.54,13.69,136.63
497,2025-04-23 21:32:39.429005+00,7.16,92.72,13.56,138.39
498,2025-04-23 21:52:39.409597+00,7.11,92.33,13.5,137.81
499,2025-04-23 22:12:39.42225+00,7.05,91.71,13.44,136.88
500,2025-04-23 22:32:39.673202+00,7.2,96.79,13.31,144.46
501,2025-04-23 22:52:39.420058+00,7.0,92.95,13.25,138.73
502,2025-04-23 23:12:39.566577+00,7.0,93.71,13.19,139.87
503,2025-04-23 23:32:39.423686+00,6.96,93.54,13.13,139.61
504,2025-04-23 23:52:39.401693+00,6.92,93.51,13.06,139.57
505,2025-04-24 00:12:39.419739+00,6.92,94.26,13.0,140.69
506,2025-04-24 00:32:39.798575+00,6.87,93.87,12.94,140.1
507,2025-04-24 00:52:39.399771+00,6.89,95.08,12.88,141.91
508,2025-04-24 01:12:39.41327+00,6.92,96.65,12.81,144.25
509,2025-04-24 01:32:39.425879+00,6.82,95.11,12.75,141.96
510,2025-04-24 01:52:39.400786+00,6.82,95.87,12.69,143.09
511,2025-04-24 02:12:39.437519+00,6.94,100.26,12.56,149.64
512,2025-04-24 02:32:39.514747+00,6.77,96.36,12.56,143.82
513,2025-04-24 02:52:39.399259+00,6.75,96.65,12.5,144.25
514,2025-04-24 03:12:39.409612+00,6.67,95.57,12.44,142.64
515,2025-04-24 03:32:40.640125+00,6.67,96.45,12.37,143.96
516,2025-04-24 03:52:39.417894+00,6.64,96.52,12.31,144.06
517,2025-04-24 04:12:39.418816+00,6.89,103.01,12.25,153.75
518,2025-04-24 04:32:39.463816+00,6.62,97.57,12.19,145.63
519,2025-04-24 04:52:39.429453+00,6.93,105.44,12.13,157.37
520,2025-04-24 05:12:39.572998+00,6.62,98.32,12.13,146.75
521,2025-04-24 05:32:39.586972+00,6.54,97.37,12.06,145.33
522,2025-04-24 05:52:39.429939+00,6.66,100.88,12.0,150.57
523,2025-04-24 06:12:39.418753+00,6.52,98.42,11.94,146.9
524,2025-04-24 06:32:39.417831+00,6.49,97.73,11.94,145.87
525,2025-04-24 06:52:39.437083+00,6.52,99.18,11.88,148.03
526,2025-04-24 07:12:39.640379+00,6.47,98.91,11.81,147.63
527,2025-04-24 07:32:39.436107+00,6.48,99.14,11.81,147.97
528,2025-04-24 07:52:39.507723+00,6.46,99.43,11.75,148.4
529,2025-04-24 08:12:39.607784+00,6.47,99.66,11.75,148.75
530,2025-04-24 08:32:39.670563+00,6.54,102.03,11.69,152.28
531,2025-04-24 08:52:39.515602+00,6.46,100.19,11.69,149.54
532,2025-04-24 09:12:39.461867+00,6.45,99.96,11.69,149.19
533,2025-04-24 09:32:39.462165+00,6.48,100.65,11.69,150.22
534,2025-04-24 09:52:39.58988+00,6.43,99.5,11.69,148.51
535,2025-04-24 10:12:39.46976+00,6.48,100.65,11.69,150.22
536,2025-04-24 10:32:39.676511+00,6.44,99.73,11.69,148.85
537,2025-04-24 10:52:42.599804+00,6.44,99.73,11.69,148.85
538,2025-04-24 11:12:39.605455+00,6.49,100.88,11.69,150.57
539,2025-04-24 11:32:39.480939+00,6.5,100.35,11.75,149.78
540,2025-04-24 11:52:39.491276+00,6.47,98.91,11.81,147.63
541,2025-04-24 12:12:39.496835+00,6.69,103.08,11.88,153.85
542,2025-04-24 12:32:39.467399+00,6.45,96.81,11.94,144.49
543,2025-04-24 12:52:39.648256+00,6.46,96.29,12.0,143.72
544,2025-04-24 13:12:39.6823+00,6.52,96.03,12.13,143.33
545,2025-04-24 13:32:39.479838+00,6.59,96.88,12.19,144.6
546,2025-04-24 13:52:39.519521+00,6.55,95.21,12.25,142.1
547,2025-04-24 14:12:39.497401+00,6.59,95.37,12.31,142.34
548,2025-04-24 14:32:39.625337+00,6.57,93.28,12.44,139.22
549,2025-04-24 14:52:39.623108+00,6.64,94.13,12.5,140.49
550,2025-04-24 15:12:39.797996+00,6.67,94.06,12.56,140.39
551,2025-04-24 15:32:39.519246+00,6.73,94.56,12.63,141.13
552,2025-04-24 15:52:39.542764+00,6.84,96.33,12.69,143.78
553,2025-04-24 16:12:39.646919+00,6.76,93.73,12.75,139.9
554,2025-04-24 16:32:39.521254+00,6.73,92.29,12.81,137.75
555,2025-04-24 16:52:39.52699+00,6.79,93.67,12.81,139.81
556,2025-04-24 17:12:39.509622+00,6.82,93.48,12.88,139.52
557,2025-04-24 17:32:39.659103+00,6.81,93.25,12.88,139.18
558,2025-04-24 17:52:39.559057+00,6.82,92.72,12.94,138.39
559,2025-04-24 18:12:39.568253+00,6.87,93.87,12.94,140.1
560,2025-04-24 18:32:39.722275+00,6.89,93.57,13.0,139.66
561,2025-04-24 18:52:39.677052+00,6.84,92.42,13.0,137.94
562,2025-04-24 19:12:40.251121+00,7.0,96.1,13.0,143.43
563,2025-04-24 19:32:39.604704+00,7.02,96.56,13.0,144.12
564,2025-04-24 19:52:39.576738+00,6.93,94.49,13.0,141.03
565,2025-04-24 20:12:39.560014+00,6.95,94.95,13.0,141.72
566,2025-04-24 20:32:39.550242+00,6.91,94.03,13.0,140.34
567,2025-04-24 20:52:39.708858+00,6.9,93.8,13.0,140.0
568,2025-04-24 21:12:39.729162+00,7.0,96.1,13.0,143.43
569,2025-04-24 21:32:39.550384+00,6.91,94.79,12.94,141.48
570,2025-04-24 21:52:39.5671+00,6.92,95.77,12.88,142.94
571,2025-04-24 22:12:40.035236+00,7.04,98.52,12.88,147.04
572,2025-04-24 22:32:39.767976+00,6.9,96.19,12.81,143.57
573,2025-04-24 22:52:40.038909+00,6.93,96.88,12.81,144.6
574,2025-04-24 23:12:40.025538+00,6.91,97.18,12.75,145.04
575,2025-04-24 23:32:39.571486+00,6.85,95.8,12.75,142.99
576,2025-04-24 23:52:39.561948+00,6.83,96.1,12.69,143.43
577,2025-04-25 00:12:39.54035+00,6.82,96.62,12.63,144.21
578,2025-04-25 00:32:39.544885+00,6.79,95.93,12.63,143.18
579,2025-04-25 00:52:39.708439+00,6.79,96.81,12.56,144.49
580,2025-04-25 01:12:39.704265+00,6.77,96.36,12.56,143.82
581,2025-04-25 01:32:39.533716+00,6.81,97.27,12.56,145.18
582,2025-04-25 01:52:39.540746+00,6.92,100.55,12.5,150.07
583,2025-04-25 02:12:39.543148+00,6.75,96.65,12.5,144.25
584,2025-04-25 02:32:39.717041+00,6.75,97.41,12.44,145.39
585,2025-04-25 02:52:39.55416+00,6.76,97.64,12.44,145.73
586,2025-04-25 03:12:39.548569+00,6.71,96.49,12.44,144.01
587,2025-04-25 03:32:39.539163+00,6.68,96.68,12.37,144.3
588,2025-04-25 03:52:39.551725+00,6.71,97.37,12.37,145.33
589,2025-04-25 04:12:39.545839+00,6.65,96.75,12.31,144.4
590,2025-04-25 04:32:39.555694+00,6.76,100.03,12.25,149.3
591,2025-04-25 04:52:39.644979+00,6.75,99.8,12.25,148.96
592,2025-04-25 05:12:39.800603+00,6.73,100.09,12.19,149.39
593,2025-04-25 05:32:39.562248+00,6.72,99.86,12.19,149.04
594,2025-04-25 05:52:39.581943+00,6.7,100.16,12.13,149.49
595,2025-04-25 06:12:39.553458+00,6.59,98.52,12.06,147.04
596,2025-04-25 06:32:39.562093+00,6.55,97.6,12.06,145.67
597,2025-04-25 06:52:40.062318+00,6.52,97.67,12.0,145.78
598,2025-04-25 07:12:39.740784+00,6.54,98.12,12.0,146.45
599,2025-04-25 07:32:39.589513+00,6.55,99.11,11.94,147.93
600,2025-04-25 07:52:39.766737+00,6.48,98.26,11.88,146.66
601,2025-04-25 08:12:39.715287+00,6.49,98.49,11.88,147.0
602,2025-04-25 08:32:39.617367+00,6.52,99.18,11.88,148.03
603,2025-04-25 08:52:39.720727+00,6.43,97.99,11.81,146.25
604,2025-04-25 09:12:39.629898+00,6.62,102.35,11.81,152.76
605,2025-04-25 09:32:39.857207+00,6.46,98.68,11.81,147.28
606,2025-04-25 09:52:39.641671+00,6.49,99.37,11.81,148.31
607,2025-04-25 10:12:39.621647+00,6.46,98.68,11.81,147.28
608,2025-04-25 10:32:39.589456+00,6.45,98.45,11.81,146.94
609,2025-04-25 10:52:39.677892+00,6.6,101.89,11.81,152.07
610,2025-04-25 11:12:39.619886+00,6.48,99.14,11.81,147.97
611,2025-04-25 11:32:42.836402+00,6.49,98.49,11.88,147.0
612,2025-04-25 11:52:39.939544+00,6.49,98.49,11.88,147.0
613,2025-04-25 12:12:39.757363+00,6.5,98.72,11.88,147.34
614,2025-04-25 12:32:39.796418+00,6.49,97.73,11.94,145.87
615,2025-04-25 12:52:39.720504+00,6.61,100.49,11.94,149.99
616,2025-04-25 13:12:39.752261+00,6.65,100.65,12.0,150.22
617,2025-04-25 13:32:39.787137+00,6.58,98.29,12.06,146.7
618,2025-04-25 13:52:39.806127+00,6.5,96.45,12.06,143.96
619,2025-04-25 14:12:39.678883+00,6.59,97.64,12.13,145.73
620,2025-04-25 14:32:39.621233+00,6.58,96.65,12.19,144.25
621,2025-04-25 14:52:39.798674+00,6.63,97.04,12.25,144.84
622,2025-04-25 15:12:39.828619+00,6.67,97.21,12.31,145.09
623,2025-04-25 15:32:39.759276+00,6.83,100.88,12.31,150.57
624,2025-04-25 15:52:39.818371+00,6.61,95.07,12.37,141.9
625,2025-04-25 16:12:39.665068+00,6.71,96.49,12.44,144.01
626,2025-04-25 16:32:39.759345+00,6.75,97.41,12.44,145.39
627,2025-04-25 16:52:39.684054+00,6.74,96.42,12.5,143.91
628,2025-04-25 17:12:39.861295+00,6.7,95.5,12.5,142.54
629,2025-04-25 17:32:39.859436+00,6.72,95.21,12.56,142.1
630,2025-04-25 17:52:42.814604+00,6.82,97.5,12.56,145.52
631,2025-04-25 18:12:39.655801+00,6.72,95.21,12.56,142.1
632,2025-04-25 18:32:39.788995+00,6.72,95.96,12.5,143.22
633,2025-04-25 18:52:39.796424+00,6.75,96.65,12.5,144.25
634,2025-04-25 19:12:39.856287+00,6.92,100.55,12.5,150.07
635,2025-04-25 19:32:39.673846+00,6.79,97.57,12.5,145.63
636,2025-04-25 19:52:39.988307+00,6.75,97.41,12.44,145.39
637,2025-04-25 20:12:39.937068+00,6.83,99.24,12.44,148.12
638,2025-04-25 20:32:39.684976+00,6.68,96.68,12.37,144.3
639,2025-04-25 20:52:39.691136+00,6.7,98.65,12.25,147.24
640,2025-04-25 21:12:39.67065+00,6.59,96.88,12.19,144.6
641,2025-04-25 21:32:39.760266+00,6.58,98.29,12.06,146.7
642,2025-04-25 21:52:39.709483+00,6.48,98.26,11.88,146.66
643,2025-04-25 22:12:39.818409+00,6.36,97.14,11.75,144.99
644,2025-04-25 22:32:39.662607+00,6.41,99.8,11.63,148.96
645,2025-04-25 22:52:39.657864+00,6.39,100.97,11.5,150.7
646,2025-04-25 23:12:39.691775+00,6.12,97.17,11.31,145.03
647,2025-04-25 23:32:40.647865+00,6.01,96.15,11.19,143.51
648,2025-04-25 23:52:39.674812+00,5.95,97.17,11.0,145.03
649,2025-04-26 00:12:39.693597+00,5.82,95.7,10.88,142.84
650,2025-04-26 00:32:39.661377+00,5.79,97.4,10.69,145.37
651,2025-04-26 00:52:39.645892+00,5.73,98.41,10.5,146.88
652,2025-04-26 01:12:39.814154+00,5.51,94.87,10.38,141.6
653,2025-04-26 01:32:39.698099+00,5.49,96.05,10.25,143.36
654,2025-04-26 01:52:39.649116+00,5.4,95.5,10.13,142.54
655,2025-04-26 02:12:39.804068+00,5.23,93.23,10.0,139.15
656,2025-04-26 02:32:39.673646+00,5.29,96.12,9.88,143.46
657,2025-04-26 02:52:39.645575+00,5.03,92.54,9.69,138.12
658,2025-04-26 03:12:39.652181+00,5.07,95.1,9.56,141.94
659,2025-04-26 03:32:39.641278+00,4.81,90.64,9.44,135.28
660,2025-04-26 03:52:39.671181+00,4.76,91.13,9.31,136.01
661,2025-04-26 04:12:39.639332+00,4.62,90.18,9.13,134.6
662,2025-04-26 04:32:39.647068+00,4.47,88.37,9.0,131.9
663,2025-04-26 04:52:39.650022+00,4.3,85.98,8.88,128.33
664,2025-04-26 05:12:39.73445+00,4.25,86.47,8.75,129.06
665,2025-04-26 05:32:39.654755+00,4.26,88.21,8.63,131.66
666,2025-04-26 05:52:39.657653+00,4.16,85.91,8.63,128.22
667,2025-04-26 06:12:39.666736+00,4.24,88.63,8.56,132.28
668,2025-04-26 06:32:39.750355+00,4.19,88.24,8.5,131.7
669,2025-04-26 06:52:39.777135+00,4.22,89.68,8.44,133.85
670,2025-04-26 07:12:39.676057+00,4.02,85.09,8.44,127.0
671,2025-04-26 07:32:39.649678+00,4.09,87.45,8.38,130.52
672,2025-04-26 07:52:39.673799+00,4.15,88.83,8.38,132.58
673,2025-04-26 08:12:39.643631+00,3.98,84.93,8.38,126.76
674,2025-04-26 08:32:39.846979+00,4.06,86.77,8.38,129.51
675,2025-04-26 08:52:39.776876+00,4.14,88.6,8.38,132.24
676,2025-04-26 09:12:39.98993+00,4.17,88.53,8.44,132.13
677,2025-04-26 09:32:39.652117+00,4.19,88.24,8.5,131.7
678,2025-04-26 09:52:39.669384+00,4.29,88.9,8.63,132.69
679,2025-04-26 10:12:40.437219+00,4.47,91.52,8.75,136.6
680,2025-04-26 10:32:39.70934+00,4.44,88.44,8.94,132.0
681,2025-04-26 10:52:39.837286+00,4.57,89.03,9.13,132.88
682,2025-04-26 11:12:39.884556+00,4.71,89.1,9.38,132.99
683,2025-04-26 11:32:39.803614+00,4.88,89.85,9.63,134.1
684,2025-04-26 11:52:39.836904+00,4.97,88.02,9.94,131.37
685,2025-04-26 12:12:39.88077+00,5.1,87.1,10.25,130.0
686,2025-04-26 12:32:39.771325+00,5.55,93.53,10.56,139.6
687,2025-04-26 12:52:40.03829+00,5.55,88.74,10.94,132.45
688,2025-04-26 13:12:39.688639+00,5.82,91.04,11.25,135.88
689,2025-04-26 13:32:39.910126+00,5.93,88.78,11.63,132.51
690,2025-04-26 13:52:39.711296+00,6.06,87.11,12.0,130.01
691,2025-04-26 14:12:42.084818+00,6.25,86.81,12.37,129.57
692,2025-04-26 14:32:39.709575+00,6.4,85.47,12.75,127.57
693,2025-04-26 14:52:39.728041+00,6.66,86.66,13.13,129.34
694,2025-04-26 15:12:40.467278+00,6.7,82.16,13.56,122.63
695,2025-04-26 15:32:39.936247+00,6.82,80.14,13.94,119.61
696,2025-04-26 15:52:39.92441+00,7.01,80.59,14.25,120.28
697,2025-04-26 16:12:39.856503+00,7.19,79.94,14.63,119.31
698,2025-04-26 16:32:39.830377+00,7.27,77.88,14.94,116.24
699,2025-04-26 16:52:39.921786+00,7.34,75.58,15.25,112.81
700,2025-04-26 17:12:39.761839+00,7.46,74.44,15.56,111.1
701,2025-04-26 17:32:39.800181+00,7.6,73.62,15.88,109.88
702,2025-04-26 17:52:39.758125+00,7.64,70.64,16.19,105.43
703,2025-04-26 18:12:39.804194+00,7.75,70.02,16.44,104.51
704,2025-04-26 18:32:39.963992+00,7.83,68.71,16.69,102.55
705,2025-04-26 18:52:39.84817+00,7.91,68.28,16.87,101.91
706,2025-04-26 19:12:39.802929+00,7.84,64.28,17.06,95.94
707,2025-04-26 19:32:39.799499+00,7.97,66.51,17.12,99.27
708,2025-04-26 19:52:40.50287+00,7.97,64.87,17.25,96.82
709,2025-04-26 20:12:40.148088+00,7.93,63.95,17.25,95.45
710,2025-04-26 20:32:39.826631+00,7.97,64.87,17.25,96.82
711,2025-04-26 20:52:39.814085+00,7.92,63.72,17.25,95.1
712,2025-04-26 21:12:40.042214+00,7.91,64.25,17.19,95.9
713,2025-04-26 21:32:39.965878+00,7.93,67.1,17.0,100.15
714,2025-04-26 21:52:40.015387+00,8.03,71.79,16.81,107.15
715,2025-04-26 22:12:40.174894+00,7.91,71.42,16.62,106.6
716,2025-04-26 22:32:39.841551+00,7.94,74.38,16.44,111.01
717,2025-04-26 22:52:39.816416+00,7.87,75.16,16.25,112.18
718,2025-04-26 23:12:40.016541+00,8.01,80.77,16.06,120.55
719,2025-04-26 23:32:39.841435+00,7.83,78.9,15.88,117.76
720,2025-04-26 23:52:40.01363+00,7.81,80.83,15.69,120.64
721,2025-04-27 00:12:39.84267+00,7.81,83.22,15.5,124.21
722,2025-04-27 00:32:39.811039+00,7.69,82.86,15.31,123.67
723,2025-04-27 00:52:39.981881+00,7.6,83.06,15.13,123.97
724,2025-04-27 01:12:39.899377+00,7.54,84.07,14.94,125.48
725,2025-04-27 01:32:39.947179+00,7.48,85.09,14.75,127.0
726,2025-04-27 01:52:39.811851+00,7.49,87.71,14.56,130.91
727,2025-04-27 02:12:39.829734+00,7.4,87.91,14.38,131.21
728,2025-04-27 02:32:39.826818+00,7.38,89.09,14.25,132.97
729,2025-04-27 02:52:39.977035+00,7.43,92.63,14.06,138.25
730,2025-04-27 03:12:39.992416+00,7.2,89.61,13.88,133.75
731,2025-04-27 03:32:40.013856+00,7.15,90.86,13.69,135.61
732,2025-04-27 03:52:39.942128+00,7.13,92.03,13.56,137.36
733,2025-04-27 04:12:40.681886+00,7.04,92.23,13.38,137.66
734,2025-04-27 04:32:39.810286+00,6.96,92.79,13.19,138.49
735,2025-04-27 04:52:39.81875+00,6.89,93.57,13.0,139.66
736,2025-04-27 05:12:39.830706+00,6.81,94.13,12.81,140.49
737,2025-04-27 05:32:39.814343+00,6.77,95.47,12.63,142.49
738,2025-04-27 05:52:40.009833+00,6.65,94.36,12.5,140.84
739,2025-04-27 06:12:39.850176+00,6.58,95.14,12.31,142.0
740,2025-04-27 06:32:39.933026+00,6.59,97.64,12.13,145.73
741,2025-04-27 06:52:40.107922+00,6.44,95.83,12.0,143.03
742,2025-04-27 07:12:39.932164+00,6.38,96.84,11.81,144.54
743,2025-04-27 07:32:39.830155+00,6.3,96.52,11.69,144.06
744,2025-04-27 07:52:39.9771+00,6.26,97.24,11.56,145.13
745,2025-04-27 08:12:39.93797+00,6.24,97.53,11.5,145.57
746,2025-04-27 08:32:39.838381+00,6.22,97.83,11.44,146.01
747,2025-04-27 08:52:39.830559+00,6.23,98.06,11.44,146.36
748,2025-04-27 09:12:39.837867+00,6.32,100.12,11.44,149.43
749,2025-04-27 09:32:39.888067+00,6.29,97.92,11.56,146.15
750,2025-04-27 09:52:39.871612+00,6.43,100.26,11.63,149.64
751,2025-04-27 10:12:40.025512+00,6.36,97.14,11.75,144.99
752,2025-04-27 10:32:39.871182+00,6.43,96.36,11.94,143.82
753,2025-04-27 10:52:39.86116+00,6.47,94.88,12.13,141.61
754,2025-04-27 11:12:39.84478+00,6.54,93.47,12.37,139.51
755,2025-04-27 11:32:40.201648+00,6.57,91.77,12.56,136.97
756,2025-04-27 11:52:39.996471+00,6.7,90.72,12.88,135.4
757,2025-04-27 12:12:40.171242+00,6.84,90.03,13.19,134.37
758,2025-04-27 12:32:40.498838+00,6.87,86.82,13.5,129.58
759,2025-04-27 12:52:39.913489+00,7.17,89.8,13.81,134.03
760,2025-04-27 13:12:39.908486+00,7.08,82.96,14.19,123.82
761,2025-04-27 13:32:42.197678+00,7.21,82.04,14.5,122.45
762,2025-04-27 13:52:39.90943+00,7.3,78.57,14.94,117.27
763,2025-04-27 14:12:40.072557+00,7.42,76.66,15.31,114.42
764,2025-04-27 14:32:40.357731+00,7.51,74.7,15.63,111.49
765,2025-04-27 14:52:39.924614+00,7.6,72.11,16.0,107.63
766,2025-04-27 15:12:39.913897+00,7.69,69.52,16.37,103.76
767,2025-04-27 15:32:40.103885+00,7.82,68.48,16.69,102.21
768,2025-04-27 15:52:40.042908+00,7.9,65.66,17.06,98.0
769,2025-04-27 16:12:40.631217+00,7.99,63.82,17.37,95.25
770,2025-04-27 16:32:40.107781+00,8.2,63.86,17.75,95.31
771,2025-04-27 16:52:39.9299+00,8.13,59.1,18.0,88.21
772,2025-04-27 17:12:40.097779+00,8.17,56.12,18.31,83.76
773,2025-04-27 17:32:39.974342+00,8.24,54.58,18.56,81.46
774,2025-04-27 17:52:39.995452+00,8.31,53.04,18.81,79.16
775,2025-04-27 18:12:40.089176+00,8.43,52.65,19.06,78.58
